circuit,qubit_count,channel,param,depth,fidelity,success_probability,error_rate
bell_phi_plus,2,bit_flip,0.8,2,0.5647999999999996,0.55517578125,0.44482421875
bell_phi_plus,2,bit_flip,0.9,2,0.7047999999999995,0.69384765625,0.30615234375
bell_phi_plus,2,bit_flip,1.0,2,0.9999999999999998,1.0,0.0
bell_phi_plus,2,phase_flip,0.0,2,0.9999999999999998,1.0,0.0
bell_phi_plus,2,phase_flip,0.1,2,0.7048000080829273,1.0,0.0
bell_phi_plus,2,phase_flip,0.2,2,0.5648000087855586,1.0,0.0
bell_phi_plus,2,phase_flip,0.3,2,0.5128000088573792,1.0,0.0
bell_phi_plus,2,phase_flip,0.4,2,0.5008000088602724,1.0,0.0
bell_phi_plus,2,phase_flip,0.5,2,0.5000000088602838,1.0,0.0
bell_phi_plus,2,phase_flip,0.6,2,0.5008000088602724,1.0,0.0
bell_phi_plus,2,phase_flip,0.7,2,0.5128000088573802,1.0,0.0
bell_phi_plus,2,phase_flip,0.8,2,0.5648000087855586,1.0,0.0
bell_phi_plus,2,phase_flip,0.9,2,0.7048000080829273,1.0,0.0
bell_phi_plus,2,phase_flip,1.0,2,0.9999999999999998,1.0,0.0
bell_phi_plus,2,depolarizing,0.0,2,0.9999999999999998,1.0,0.0
bell_phi_plus,2,depolarizing,0.1,2,0.7420750044759751,0.818359375,0.181640625
bell_phi_plus,2,depolarizing,0.2,2,0.5572000050819025,0.69384765625,0.30615234375
bell_phi_plus,2,depolarizing,0.3,2,0.43007500506521473,0.610595703125,0.389404296875
bell_phi_plus,2,depolarizing,0.4,2,0.3472000048707619,0.55517578125,0.44482421875
bell_phi_plus,2,depolarizing,0.5,2,0.29687500467433764,0.525634765625,0.474365234375
bell_phi_plus,2,depolarizing,0.6,2,0.26920000453788806,0.50341796875,0.49658203125
bell_phi_plus,2,depolarizing,0.7,2,0.25607500446544934,0.492919921875,0.507080078125
bell_phi_plus,2,depolarizing,0.8,2,0.2512000044372069,0.490234375,0.509765625
bell_phi_plus,2,depolarizing,0.9,2,0.25007500443058445,0.489501953125,0.510498046875
bell_phi_plus,2,depolarizing,1.0,2,0.2500000044301416,0.489501953125,0.510498046875
bell_phi_plus,2,amplitude_damping,0.0,2,0.9999999999999998,1.0,0.0
bell_phi_plus,2,amplitude_damping,0.1,2,0.8280500013635974,0.8388671875,0.1611328125
bell_phi_plus,2,amplitude_damping,0.2,2,0.7048000020414085,0.75927734375,0.24072265625
bell_phi_plus,2,amplitude_damping,0.3,2,0.6200500022141844,0.738525390625,0.261474609375
bell_phi_plus,2,amplitude_damping,0.4,2,0.5648000020414095,0.765869140625,0.234130859375
bell_phi_plus,2,amplitude_damping,0.5,2,0.5312500016613034,0.814453125,0.185546875
bell_phi_plus,2,amplitude_damping,0.6,2,0.512800001190822,0.870361328125,0.129638671875
bell_phi_plus,2,amplitude_damping,0.7,2,0.5040500007256571,0.923583984375,0.076416015625
bell_phi_plus,2,amplitude_damping,0.8,2,0.500800000340235,0.96240234375,0.03759765625
bell_phi_plus,2,amplitude_damping,0.9,2,0.5000500000877166,0.989013671875,0.010986328125
